id,recipient,message,sender,created_at,status,color,full_bg,animation,ip,country,pinned,pinned_until,uuid,tag,sub_tag,typewriter_enabled,reveal_at,destruct_at,time_capsule_delay_minutes,destruct_delay_minutes,night_only,night_tz,night_start_hour,night_end_hour
00155f79-edd7-4731-b0ce-24d2e469d68c,alex,do i cross your mind at all? cause i think of you all the time. i never forgot our first conversation btw,,2025-12-23 07:36:45.892+00,approved,sage,true,,103.106.139.157,India,false,,e184f2bf-7809-43e9-ac62-c31685b66719,Longing,desperate_yearning,true,2025-12-23 07:36:45.892+00,,0,0,false,,21,6
00bbed65-33f9-4274-a458-1d7dcb6048bf,Gabriel,"Te odio y te amo al mismo tiempo, odio no abrazarte y que no seas mío. Espero nunca leas esto y sigas en tu estupidez.",Lucila,2026-04-20 01:57:34.108+00,approved,honey,true,handwritten,2800:810:4e6:26b:12b5:cde3:6de7:b9a1,Argentina,false,,0ad2ee46-2e67-47ae-bb8f-b19e32298bf1,Longing,craving_your_touch,true,2026-04-20 04:43:20.287+00,,0,0,false,,21,6
00c53cc6-7481-4fb3-a07e-f87347881e4c,Sparrow,"I can't accept mistakes from you. It's irrational AND where I am. I read between the lines, regardless of what you write. I assume malicious intent behind what would be anyone else's ""misunderstanding"". I WILL forgive you, but can't let you in without change.",,2026-05-07 15:54:31.342+00,approved,garnet,true,,204.16.123.214,United States,false,,a14c332f-6340-4ad8-8a0e-8414ca819205,,,false,2026-05-07 16:41:31.211+00,,0,0,false,,21,6
00ca89db-22d1-4ef5-83ff-95398a482c7a,Tamara Swit-salazar-the great liar,I didn’t apologise neither made a fight about you lying and trying to alienate me in high school because I knew you would be your enemy later in life.,,2026-04-23 20:30:03.63+00,approved,clay,true,,92.40.192.117,United Kingdom,false,,ef2395e9-2784-4e2c-b10b-ef5921269609,,,false,2026-04-23 20:37:12.684+00,,0,0,false,,21,6
0114a716-7f55-4f41-adcb-e5cfd47eff6d,Former Boss,Why did you not recognize me for the decades of contributions I made to your company?,,2026-04-12 19:02:22.663+00,approved,cream,true,rough,172.69.74.237,United States,false,,be532cfc-0f22-43df-81c5-fcbcd932eb3e,Anger,,true,2026-04-12 19:39:44.695+00,,0,0,false,,21,6
01292e13-d596-42be-b170-17001133c1da,gage,"i can’t stop writing to you and about you. i even started writing to your brother, your friends. saying things ill never send. man, how i wish i could think of anything else.",sunshine,2025-11-05 02:22:28.488+00,approved,ocean,true,,174.218.136.233,United States,false,,b87f8860-5946-4cf7-b77f-24e6a47d1766,Confession,keep_secret,true,2025-11-05 02:22:28.488+00,,0,0,false,,21,6
012fe6fd-e039-45dc-a98e-6d508960e3f6,Jenni,I haven't not sent this. But I haven't either. I just can't. Do you wan't something more?,,2026-04-24 16:45:45.25+00,approved,teal,true,,208.38.226.19,United States,false,,23038263-be3c-4d31-ba08-95acafa6c7f8,,,false,2026-04-24 16:57:12.016+00,,0,0,true,America/Indianapolis,21,6
0171c9ca-899f-4c73-b9de-be927b90a286,Christopher,"I am so scared to really talk and open up to you. You seem like you want to talk, but then the moment leaves us. I desperately want to talk to you but I don’t want to scare you. But what really scares you?",Angel,2026-04-23 04:05:16.045+00,approved,aqua,true,,98.97.49.43,United States,false,,5b12e25d-209b-44e8-a94c-94afbd950b25,,,false,2026-04-23 04:10:49.799+00,,0,0,false,,21,6
01885100-5c83-4d59-8c3d-634a5d7a57ad,Kate,"Miss u girl so much, u were the only one to call me out on things",,2026-01-16 06:15:17.39+00,approved,ice,true,handwritten,24.4.213.185,United States,false,,97ee9839-f9c4-4462-9d1a-6fc71d3113ca,,,true,2026-01-16 06:15:17.39+00,,0,0,false,,21,6
024caabf-675e-4911-8fe3-2fc56a467a94,MANYA,"You knew I loved your smile, your hair, your presence everything about you. You knew I loved you, yet acted like my feelings were never real. Truth is, I still miss you… but you’ll never realize it anyway.",Shaurya,2026-05-16 18:58:11.647+00,approved,cloud,true,,2406:b400:f11:160c:a99c:1423:aabc:fe2b,India,false,,c2c501ab-c3b1-4756-a6ea-ca8b0a30b300,,,false,2026-05-16 22:01:28.413+00,,0,0,false,,21,6
